report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
3_o3-mini_orkg_d4_b4,d4_b4,0.58,0.73,0.42,0.53,0.42,0.536,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d4_b4.md
40_o3-mini_orkg_d1_b1,d1_b1,0.63,0.65,0.4,0.65,0.68,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d1_b1.md
40_o3-mini_orkg_d1_b4,d1_b4,0.62,0.94,0.43,0.66,0.68,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d1_b4.md
40_o3-mini_orkg_d4_b1,d4_b1,0.54,0.68,0.4,0.68,0.62,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d4_b1.md
40_o3-mini_orkg_d4_b4,d4_b4,0.64,0.88,0.57,0.57,0.63,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d4_b4.md
41_o3-mini_orkg_d1_b1,d1_b1,0.68,0.67,0.61,0.82,0.78,0.712,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d1_b1.md
41_o3-mini_orkg_d1_b4,d1_b4,0.58,0.73,0.54,0.68,0.69,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d1_b4.md
41_o3-mini_orkg_d4_b1,d4_b1,0.63,0.66,0.54,0.63,0.68,0.628,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d4_b1.md
41_o3-mini_orkg_d4_b4,d4_b4,0.62,0.83,0.42,0.68,0.72,0.654,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d4_b4.md
42_o3-mini_orkg_d1_b1,d1_b1,0.62,0.68,0.42,0.67,0.63,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d1_b1.md
42_o3-mini_orkg_d1_b4,d1_b4,0.58,0.77,0.44,0.63,0.46,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d1_b4.md
42_o3-mini_orkg_d4_b1,d4_b1,0.63,0.65,0.38,0.63,0.62,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d4_b1.md
42_o3-mini_orkg_d4_b4,d4_b4,0.57,0.78,0.58,0.65,0.57,0.63,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d4_b4.md
43_o3-mini_orkg_d1_b1,d1_b1,0.62,0.73,0.42,0.71,0.56,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d1_b1.md
43_o3-mini_orkg_d1_b4,d1_b4,0.62,0.82,0.42,0.63,0.76,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d1_b4.md
43_o3-mini_orkg_d4_b1,d4_b1,0.62,0.73,0.44,0.82,0.72,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d4_b1.md
43_o3-mini_orkg_d4_b4,d4_b4,0.63,0.78,0.57,0.67,0.42,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d4_b4.md
44_o3-mini_orkg_d1_b1,d1_b1,0.67,0.72,0.62,0.68,0.68,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d1_b1.md
44_o3-mini_orkg_d1_b4,d1_b4,0.58,0.68,0.57,0.62,0.58,0.606,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d1_b4.md
44_o3-mini_orkg_d4_b1,d4_b1,0.42,0.62,0.48,0.58,0.67,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d4_b1.md
44_o3-mini_orkg_d4_b4,d4_b4,0.73,0.72,0.44,0.73,0.73,0.67,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d4_b4.md
45_o3-mini_orkg_d1_b1,d1_b1,0.42,0.62,0.57,0.57,0.57,0.55,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d1_b1.md
45_o3-mini_orkg_d1_b4,d1_b4,0.57,0.67,0.57,0.72,0.63,0.632,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d1_b4.md
45_o3-mini_orkg_d4_b1,d4_b1,0.67,0.63,0.42,0.73,0.42,0.574,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d4_b1.md
45_o3-mini_orkg_d4_b4,d4_b4,0.63,0.78,0.43,0.72,0.73,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d4_b4.md
46_o3-mini_orkg_d1_b1,d1_b1,0.64,0.66,0.56,0.72,0.73,0.662,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d1_b1.md
46_o3-mini_orkg_d1_b4,d1_b4,0.63,0.72,0.57,0.63,0.57,0.624,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d1_b4.md
46_o3-mini_orkg_d4_b1,d4_b1,0.63,0.67,0.62,0.76,0.62,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d4_b1.md
46_o3-mini_orkg_d4_b4,d4_b4,0.57,0.82,0.61,0.68,0.72,0.68,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d4_b4.md
47_o3-mini_orkg_d1_b1,d1_b1,0.67,0.66,0.42,0.62,0.44,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d1_b1.md
47_o3-mini_orkg_d1_b4,d1_b4,0.46,0.72,0.45,0.63,0.68,0.588,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d1_b4.md
47_o3-mini_orkg_d4_b1,d4_b1,0.42,0.78,0.43,0.63,0.62,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d4_b1.md
47_o3-mini_orkg_d4_b4,d4_b4,0.67,0.78,0.44,0.63,0.73,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d4_b4.md
48_o3-mini_orkg_d1_b1,d1_b1,0.53,0.58,0.58,0.62,0.56,0.574,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d1_b1.md
48_o3-mini_orkg_d1_b4,d1_b4,0.62,0.72,0.66,0.76,0.82,0.716,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d1_b4.md
48_o3-mini_orkg_d4_b1,d4_b1,0.57,0.61,0.46,0.62,0.62,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d4_b1.md
48_o3-mini_orkg_d4_b4,d4_b4,0.57,0.83,0.58,0.72,0.72,0.684,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d4_b4.md
49_o3-mini_orkg_d1_b1,d1_b1,0.63,0.62,0.56,0.71,0.82,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d1_b1.md
49_o3-mini_orkg_d1_b4,d1_b4,0.62,0.77,0.45,0.82,0.63,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d1_b4.md
49_o3-mini_orkg_d4_b1,d4_b1,0.67,0.62,0.33,0.63,0.62,0.574,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d4_b1.md
49_o3-mini_orkg_d4_b4,d4_b4,0.63,0.86,0.44,0.88,0.76,0.714,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d4_b4.md
4_o3-mini_orkg_d1_b1,d1_b1,0.64,0.68,0.42,0.62,0.68,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d1_b1.md
4_o3-mini_orkg_d1_b4,d1_b4,0.57,0.63,0.44,0.66,0.58,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d1_b4.md
4_o3-mini_orkg_d4_b1,d4_b1,0.65,0.63,0.42,0.72,0.61,0.606,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d4_b1.md
4_o3-mini_orkg_d4_b4,d4_b4,0.72,0.73,0.44,0.67,0.58,0.628,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d4_b4.md
5_o3-mini_orkg_d1_b1,d1_b1,0.62,0.68,0.57,0.78,0.78,0.686,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d1_b1.md
5_o3-mini_orkg_d1_b4,d1_b4,0.58,0.68,0.63,0.73,0.63,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d1_b4.md
5_o3-mini_orkg_d4_b1,d4_b1,0.43,0.62,0.57,0.72,0.72,0.612,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d4_b1.md
5_o3-mini_orkg_d4_b4,d4_b4,0.56,0.82,0.57,0.57,0.52,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d4_b4.md
6_o3-mini_orkg_d1_b1,d1_b1,0.62,0.72,0.42,0.61,0.42,0.558,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d1_b1.md
6_o3-mini_orkg_d1_b4,d1_b4,0.63,0.83,0.57,0.63,0.54,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d1_b4.md
6_o3-mini_orkg_d4_b1,d4_b1,0.67,0.88,0.62,0.58,0.58,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d4_b1.md
6_o3-mini_orkg_d4_b4,d4_b4,0.64,0.83,0.46,0.66,0.57,0.632,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d4_b4.md
7_o3-mini_orkg_d1_b1,d1_b1,0.63,0.78,0.57,0.67,0.56,0.642,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d1_b1.md
7_o3-mini_orkg_d1_b4,d1_b4,0.58,0.82,0.43,0.62,0.62,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d1_b4.md
7_o3-mini_orkg_d4_b1,d4_b1,0.62,0.78,0.4,0.78,0.57,0.63,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d4_b1.md
7_o3-mini_orkg_d4_b4,d4_b4,0.62,0.83,0.57,0.72,0.73,0.694,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d4_b4.md
8_o3-mini_orkg_d1_b1,d1_b1,0.63,0.63,0.28,0.51,0.42,0.494,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d1_b1.md
8_o3-mini_orkg_d1_b4,d1_b4,0.63,0.57,0.42,0.42,0.44,0.496,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d1_b4.md
8_o3-mini_orkg_d4_b1,d4_b1,0.61,0.63,0.54,0.66,0.67,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d4_b1.md
8_o3-mini_orkg_d4_b4,d4_b4,0.62,0.73,0.34,0.62,0.58,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d4_b4.md
9_o3-mini_orkg_d1_b1,d1_b1,0.62,0.62,0.4,0.43,0.62,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d1_b1.md
9_o3-mini_orkg_d1_b4,d1_b4,0.62,0.73,0.42,0.57,0.52,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d1_b4.md
9_o3-mini_orkg_d4_b1,d4_b1,0.62,0.62,0.34,0.62,0.58,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d4_b1.md
9_o3-mini_orkg_d4_b4,d4_b4,0.56,0.66,0.36,0.46,0.57,0.522,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d4_b4.md
