report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
3_o3-mini_orkg_d4_b4,d4_b4,0.47,0.53,0.39,0.56,0.39,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d4_b4.md
40_o3-mini_orkg_d1_b1,d1_b1,0.58,0.52,0.42,0.59,0.57,0.536,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d1_b1.md
40_o3-mini_orkg_d1_b4,d1_b4,0.53,0.73,0.44,0.56,0.56,0.564,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d1_b4.md
40_o3-mini_orkg_d4_b1,d4_b1,0.53,0.78,0.46,0.53,0.47,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d4_b1.md
40_o3-mini_orkg_d4_b4,d4_b4,0.61,0.81,0.48,0.69,0.57,0.632,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/40_o3-mini_orkg_d4_b4.md
41_o3-mini_orkg_d1_b1,d1_b1,0.64,0.63,0.48,0.88,0.77,0.68,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d1_b1.md
41_o3-mini_orkg_d1_b4,d1_b4,0.49,0.59,0.34,0.69,0.67,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d1_b4.md
41_o3-mini_orkg_d4_b1,d4_b1,0.62,0.53,0.42,0.63,0.56,0.552,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d4_b1.md
41_o3-mini_orkg_d4_b4,d4_b4,0.53,0.57,0.44,0.79,0.64,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/41_o3-mini_orkg_d4_b4.md
42_o3-mini_orkg_d1_b1,d1_b1,0.39,0.38,0.37,0.61,0.57,0.464,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d1_b1.md
42_o3-mini_orkg_d1_b4,d1_b4,0.59,0.62,0.34,0.52,0.34,0.482,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d1_b4.md
42_o3-mini_orkg_d4_b1,d4_b1,0.41,0.56,0.28,0.42,0.52,0.438,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d4_b1.md
42_o3-mini_orkg_d4_b4,d4_b4,0.42,0.41,0.39,0.37,0.43,0.404,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/42_o3-mini_orkg_d4_b4.md
43_o3-mini_orkg_d1_b1,d1_b1,0.51,0.58,0.31,0.61,0.49,0.5,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d1_b1.md
43_o3-mini_orkg_d1_b4,d1_b4,0.61,0.69,0.39,0.77,0.62,0.616,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d1_b4.md
43_o3-mini_orkg_d4_b1,d4_b1,0.62,0.57,0.38,0.78,0.73,0.616,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d4_b1.md
43_o3-mini_orkg_d4_b4,d4_b4,0.56,0.64,0.47,0.66,0.58,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/43_o3-mini_orkg_d4_b4.md
44_o3-mini_orkg_d1_b1,d1_b1,0.48,0.48,0.42,0.66,0.53,0.514,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d1_b1.md
44_o3-mini_orkg_d1_b4,d1_b4,0.48,0.74,0.39,0.53,0.64,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d1_b4.md
44_o3-mini_orkg_d4_b1,d4_b1,0.61,0.57,0.43,0.59,0.53,0.546,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d4_b1.md
44_o3-mini_orkg_d4_b4,d4_b4,0.52,0.63,0.42,0.62,0.58,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/44_o3-mini_orkg_d4_b4.md
45_o3-mini_orkg_d1_b1,d1_b1,0.37,0.47,0.41,0.61,0.49,0.47,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d1_b1.md
45_o3-mini_orkg_d1_b4,d1_b4,0.43,0.56,0.49,0.73,0.46,0.534,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d1_b4.md
45_o3-mini_orkg_d4_b1,d4_b1,0.57,0.56,0.26,0.67,0.34,0.48,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d4_b1.md
45_o3-mini_orkg_d4_b4,d4_b4,0.52,0.73,0.52,0.61,0.54,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/45_o3-mini_orkg_d4_b4.md
46_o3-mini_orkg_d1_b1,d1_b1,0.64,0.37,0.46,0.81,0.72,0.6,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d1_b1.md
46_o3-mini_orkg_d1_b4,d1_b4,0.53,0.58,0.34,0.67,0.46,0.516,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d1_b4.md
46_o3-mini_orkg_d4_b1,d4_b1,0.67,0.38,0.33,0.81,0.42,0.522,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d4_b1.md
46_o3-mini_orkg_d4_b4,d4_b4,0.59,0.84,0.47,0.74,0.62,0.652,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/46_o3-mini_orkg_d4_b4.md
47_o3-mini_orkg_d1_b1,d1_b1,0.53,0.53,0.44,0.67,0.42,0.518,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d1_b1.md
47_o3-mini_orkg_d1_b4,d1_b4,0.46,0.64,0.39,0.69,0.74,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d1_b4.md
47_o3-mini_orkg_d4_b1,d4_b1,0.53,0.67,0.41,0.62,0.58,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d4_b1.md
47_o3-mini_orkg_d4_b4,d4_b4,0.57,0.78,0.46,0.62,0.72,0.63,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/47_o3-mini_orkg_d4_b4.md
48_o3-mini_orkg_d1_b1,d1_b1,0.62,0.46,0.33,0.61,0.53,0.51,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d1_b1.md
48_o3-mini_orkg_d1_b4,d1_b4,0.61,0.78,0.58,0.63,0.63,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d1_b4.md
48_o3-mini_orkg_d4_b1,d4_b1,0.53,0.62,0.41,0.63,0.46,0.53,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d4_b1.md
48_o3-mini_orkg_d4_b4,d4_b4,0.61,0.61,0.47,0.79,0.71,0.638,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/48_o3-mini_orkg_d4_b4.md
49_o3-mini_orkg_d1_b1,d1_b1,0.63,0.47,0.3,0.62,0.48,0.5,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d1_b1.md
49_o3-mini_orkg_d1_b4,d1_b4,0.64,0.81,0.19,0.79,0.61,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d1_b4.md
49_o3-mini_orkg_d4_b1,d4_b1,0.46,0.48,0.29,0.58,0.53,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d4_b1.md
49_o3-mini_orkg_d4_b4,d4_b4,0.57,0.71,0.33,0.66,0.67,0.588,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/49_o3-mini_orkg_d4_b4.md
4_o3-mini_orkg_d1_b1,d1_b1,0.41,0.41,0.29,0.79,0.62,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d1_b1.md
4_o3-mini_orkg_d1_b4,d1_b4,0.53,0.52,0.35,0.89,0.48,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d1_b4.md
4_o3-mini_orkg_d4_b1,d4_b1,0.69,0.47,0.41,0.71,0.61,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d4_b1.md
4_o3-mini_orkg_d4_b4,d4_b4,0.57,0.59,0.37,0.57,0.42,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/4_o3-mini_orkg_d4_b4.md
5_o3-mini_orkg_d1_b1,d1_b1,0.59,0.66,0.42,0.91,0.67,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d1_b1.md
5_o3-mini_orkg_d1_b4,d1_b4,0.57,0.73,0.39,0.81,0.58,0.616,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d1_b4.md
5_o3-mini_orkg_d4_b1,d4_b1,0.53,0.53,0.53,0.69,0.58,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d4_b1.md
5_o3-mini_orkg_d4_b4,d4_b4,0.46,0.76,0.47,0.62,0.41,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/5_o3-mini_orkg_d4_b4.md
6_o3-mini_orkg_d1_b1,d1_b1,0.61,0.53,0.31,0.66,0.41,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d1_b1.md
6_o3-mini_orkg_d1_b4,d1_b4,0.56,0.69,0.41,0.47,0.41,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d1_b4.md
6_o3-mini_orkg_d4_b1,d4_b1,0.47,0.72,0.33,0.61,0.54,0.534,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d4_b1.md
6_o3-mini_orkg_d4_b4,d4_b4,0.63,0.82,0.53,0.53,0.58,0.618,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/6_o3-mini_orkg_d4_b4.md
7_o3-mini_orkg_d1_b1,d1_b1,0.57,0.67,0.43,0.58,0.53,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d1_b1.md
7_o3-mini_orkg_d1_b4,d1_b4,0.53,0.61,0.47,0.63,0.48,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d1_b4.md
7_o3-mini_orkg_d4_b1,d4_b1,0.53,0.68,0.43,0.62,0.46,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d4_b1.md
7_o3-mini_orkg_d4_b4,d4_b4,0.58,0.81,0.62,0.57,0.59,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/7_o3-mini_orkg_d4_b4.md
8_o3-mini_orkg_d1_b1,d1_b1,0.61,0.47,0.19,0.66,0.43,0.472,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d1_b1.md
8_o3-mini_orkg_d1_b4,d1_b4,0.59,0.43,0.31,0.53,0.53,0.478,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d1_b4.md
8_o3-mini_orkg_d4_b1,d4_b1,0.51,0.47,0.41,0.69,0.52,0.52,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d4_b1.md
8_o3-mini_orkg_d4_b4,d4_b4,0.44,0.57,0.26,0.52,0.58,0.474,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/8_o3-mini_orkg_d4_b4.md
9_o3-mini_orkg_d1_b1,d1_b1,0.56,0.36,0.18,0.62,0.39,0.422,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d1_b1.md
9_o3-mini_orkg_d1_b4,d1_b4,0.53,0.54,0.18,0.67,0.21,0.426,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d1_b4.md
9_o3-mini_orkg_d4_b1,d4_b1,0.52,0.53,0.22,0.53,0.39,0.438,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d4_b1.md
9_o3-mini_orkg_d4_b4,d4_b4,0.62,0.59,0.23,0.69,0.42,0.51,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/9_o3-mini_orkg_d4_b4.md
